# NEUROPLAST-ANN - Test Exhaustif XOR Médical Simulé
# Dataset: Médical simulé (0 échantillons, 8 features)
# Architecture: Input(8)→256→128→Output(1)
# Total combinaisons: 567
# Essais par combinaison: 5
# Époques max: 50
# Features médicales: Age, Cholestérol, Tension, BMI, Exercice, Tabac, Antécédents, Stress
# Modèle de risque: Interactions complexes + bruit réaliste
# Toutes les métriques: Accuracy, Precision, Recall, F1-Score, AUC-ROC
#
Rang,Methode,Optimiseur,Activation,Combinaison_Complete,Avg_Accuracy_Pct,Avg_Precision_Pct,Avg_Recall_Pct,Avg_F1_Score_Pct,Avg_AUC_ROC_Pct,Best_Accuracy_Pct,Best_Precision_Pct,Best_Recall_Pct,Best_F1_Score_Pct,Best_AUC_ROC_Pct,Convergence_Count,Total_Trials,Taux_Convergence_Pct
62,standard,radam,swish,standard+radam+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
63,standard,radam,prelu,standard+radam+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
64,standard,adamax,neuroplast,standard+adamax+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
65,standard,adamax,relu,standard+adamax+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
66,standard,adamax,leaky_relu,standard+adamax+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
67,standard,adamax,gelu,standard+adamax+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
68,standard,adamax,sigmoid,standard+adamax+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
69,standard,adamax,elu,standard+adamax+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
70,standard,adamax,mish,standard+adamax+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
71,standard,adamax,swish,standard+adamax+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
72,standard,adamax,prelu,standard+adamax+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
73,standard,nadam,neuroplast,standard+nadam+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
74,standard,nadam,relu,standard+nadam+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
75,standard,nadam,leaky_relu,standard+nadam+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
76,standard,nadam,gelu,standard+nadam+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
77,standard,nadam,sigmoid,standard+nadam+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
78,standard,nadam,elu,standard+nadam+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
79,standard,nadam,mish,standard+nadam+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
80,standard,nadam,swish,standard+nadam+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
81,standard,nadam,prelu,standard+nadam+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
82,adaptive,adamw,neuroplast,adaptive+adamw+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
83,adaptive,adamw,relu,adaptive+adamw+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
84,adaptive,adamw,leaky_relu,adaptive+adamw+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
85,adaptive,adamw,gelu,adaptive+adamw+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
86,adaptive,adamw,sigmoid,adaptive+adamw+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
87,adaptive,adamw,elu,adaptive+adamw+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
88,adaptive,adamw,mish,adaptive+adamw+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
89,adaptive,adamw,swish,adaptive+adamw+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
90,adaptive,adamw,prelu,adaptive+adamw+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
91,adaptive,adam,neuroplast,adaptive+adam+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
92,adaptive,adam,relu,adaptive+adam+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
93,adaptive,adam,leaky_relu,adaptive+adam+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
94,adaptive,adam,gelu,adaptive+adam+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
95,adaptive,adam,sigmoid,adaptive+adam+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
96,adaptive,adam,elu,adaptive+adam+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
97,adaptive,adam,mish,adaptive+adam+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
98,adaptive,adam,swish,adaptive+adam+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
99,adaptive,adam,prelu,adaptive+adam+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
100,adaptive,sgd,neuroplast,adaptive+sgd+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
101,adaptive,sgd,relu,adaptive+sgd+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
102,adaptive,sgd,leaky_relu,adaptive+sgd+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
103,adaptive,sgd,gelu,adaptive+sgd+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
104,adaptive,sgd,sigmoid,adaptive+sgd+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
105,adaptive,sgd,elu,adaptive+sgd+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
106,adaptive,sgd,mish,adaptive+sgd+mish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
107,adaptive,sgd,swish,adaptive+sgd+swish,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
108,adaptive,sgd,prelu,adaptive+sgd+prelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
109,adaptive,rmsprop,neuroplast,adaptive+rmsprop+neuroplast,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
110,adaptive,rmsprop,relu,adaptive+rmsprop+relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
111,adaptive,rmsprop,leaky_relu,adaptive+rmsprop+leaky_relu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
112,adaptive,rmsprop,gelu,adaptive+rmsprop+gelu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
113,adaptive,rmsprop,sigmoid,adaptive+rmsprop+sigmoid,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
114,adaptive,rmsprop,elu,adaptive+rmsprop+elu,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,5,0.00
